48037,"Bowie, TX",3639773
48039,"Brazoria, TX",14789436
48041,"Brazos, TX",9036851
48043,"Brewster, TX",350778
48045,"Briscoe, TX",93654
48047,"Brooks, TX",356810
48049,"Brown, TX",1249201
48051,"Burleson, TX",1024436
48053,"Burnet, TX",1275662
48055,"Caldwell, TX",811776
48057,"Calhoun, TX",2003469
48059,"Callahan, TX",243909
48061,"Cameron, TX",9659865
48063,"Camp, TX",397897
48065,"Carson, TX",837858
48067,"Cass, TX",740258
48069,"Castro, TX",602006
48071,"Chambers, TX",2170174
48073,"Cherokee, TX",1567759
48075,"Childress, TX",203141
48077,"Clay, TX",237128
48079,"Cochran, TX",416709
48081,"Coke, TX",154385
48083,"Coleman, TX",220003
48085,"Collin, TX",53840440
48087,"Collingsworth, TX",96979
48089,"Colorado, TX",805364
48091,"Comal, TX",5078067
48093,"Comanche, TX",401811
48095,"Concho, TX",108501
48097,"Cooke, TX",2428601
48099,"Coryell, TX",1435756
48101,"Cottle, TX",85504
48103,"Crane, TX",1268805
48105,"Crockett, TX",1646013
48107,"Crosby, TX",320323
48109,"Culberson, TX",1081840
48111,"Dallam, TX",584822
48113,"Dallas, TX",226056902
48115,"Dawson, TX",737356
48117,"Deaf Smith, TX",1514699
48119,"Delta, TX",90641
48121,"Denton, TX",25964632
48123,"DeWitt, TX",8052986
48125,"Dickens, TX",138739
48127,"Dimmit, TX",5069387
48129,"Donley, TX",122538
48131,"Duval, TX",423968
48133,"Eastland, TX",840668
48135,"Ector, TX",10773276
48137,"Edwards, TX",106239
48139,"Ellis, TX",4910556
48141,"El Paso, TX",27579722
48143,"Erath, TX",1458608
48145,"Falls, TX",378232
48147,"Fannin, TX",652635
48149,"Fayette, TX",1617915
48151,"Fisher, TX",235337
48153,"Floyd, TX",246891
48155,"Foard, TX",43240
48157,"Fort Bend, TX",22713161
48159,"Franklin, TX",405561
48161,"Freestone, TX",1774119
48163,"Frio, TX",1636444
48165,"Gaines, TX",3143750
48167,"Galveston, TX",13923623
48169,"Garza, TX",396636
48171,"Gillespie, TX",832301
48173,"Glasscock, TX",3419824
48175,"Goliad, TX",315686
48177,"Gonzales, TX",4715861
48179,"Gray, TX",1074164
48181,"Grayson, TX",4370950
48183,"Gregg, TX",7432406
48185,"Grimes, TX",1107248
48187,"Guadalupe, TX",8038245
48189,"Hale, TX",1268627
48191,"Hall, TX",83017
48193,"Hamilton, TX",207874
48195,"Hansford, TX",855907
48197,"Hardeman, TX",205436
48199,"Hardin, TX",1249286
48201,"Harris, TX",350522882
48203,"Harrison, TX",4350017
48205,"Hartley, TX",776267
48207,"Haskell, TX",211294
48209,"Hays, TX",5709953
48211,"Hemphill, TX",1288646
48213,"Henderson, TX",1569941
48215,"Hidalgo, TX",20007112
48217,"Hill, TX",890421
48219,"Hockley, TX",2089775
48221,"Hood, TX",1836421
48223,"Hopkins, TX",1285413
48225,"Houston, TX",846398
48227,"Howard, TX",3723152
48229,"Hudspeth, TX",141134
48231,"Hunt, TX",3412827
48233,"Hutchinson, TX",9380312
48235,"Irion, TX",1822057
48237,"Jack, TX",624966
48239,"Jackson, TX",578885
48241,"Jasper, TX",956225
48243,"Jeff Davis, TX",70060
48245,"Jefferson, TX",23478937
48247,"Jim Hogg, TX",226035
48249,"Jim Wells, TX",1565164
48251,"Johnson, TX",5730890
48253,"Jones, TX",514141
48255,"Karnes, TX",10296951
48257,"Kaufman, TX",4173953
48259,"Kendall, TX",1625835
48261,"Kenedy, TX",278453
48263,"Kent, TX",425760
48265,"Kerr, TX",1620694
48267,"Kimble, TX",149140
48269,"King, TX",214793
48271,"Kinney, TX",110641
48273,"Kleberg, TX",1142031
48275,"Knox, TX",189096
48277,"Lamar, TX",1994090
48279,"Lamb, TX",771216
48281,"Lampasas, TX",412937
48283,"La Salle, TX",6730787
48285,"Lavaca, TX",1363519
